year,P,g,e,f,E,F,ef,G
1969,3.613400327,5.07466,10.005405469646808,76.66888496794586,183.46689993159643,14066.2026462812,767.1032810100074,18.336778103413817
1970,3.688286119,5.18097,10.203524597967743,76.31965195289021,194.97812847551347,14880.6629036771,778.7294460096522,19.10889973395543
1971,3.765252925,5.28441,10.183601691208876,75.81704789620552,202.62455068665832,15362.395264357498,772.090617178263,19.89714020939925
1972,3.840872427,5.45892,10.174155137349937,75.4697185493687,213.32166652298014,16099.326132971599,767.8406246934134,20.96701530919884
1973,3.915766223,5.6807799999999995,10.135038325448015,75.40388120750701,225.44993884742695,16999.800407091105,764.221225925613,22.244606444293936
1974,3.989552203,5.69262,9.973578616483364,74.77184256641058,226.50999045419996,16936.569345960605,745.7428501354133,22.71100466184186
1975,4.061330637,5.64873,9.910248496059216,74.54592432505662,227.35458051019245,16948.3573536678,738.7686344297366,22.94136020914101
1976,4.131782807,5.829359999999999,9.953362969563742,74.5025966997133,239.73321107287973,17860.74674009,741.551387127268,24.085649423813514
1977,4.203014663,5.95757,9.91729597273172,74.28055180433401,248.3266521554361,18445.8407498287,736.6622172614116,25.03975406584891
1978,4.27413536,6.09872,9.815838198456808,73.76445605183417,255.8670475025349,18873.8935806133,724.0599654019824,26.0667548027392
1979,4.347811568,6.24174,9.759086848980878,73.69135043705576,264.8412145045317,19516.5067482289,719.160288933912,27.13790937644832
1980,4.419054562,6.267600000000001,9.501034580469444,73.4983679330509,263.1488851785305,19341.0135840238,698.310535339983,27.696866372791206
1981,4.501372335,6.27407,9.269797259136698,73.10013979780622,261.79692012438016,19137.3914597273,677.6234755402137,28.241925125853452
1982,4.580818872,6.205,9.1700025690017,72.7117680539147,260.64797971522495,18952.1754447749,666.7670998510534,28.42398110076
1983,4.661233076,6.255319999999999,9.069165712045347,72.40635629845617,264.4342399238468,19146.7197934375,656.6652438760974,29.157504484964317
1984,4.739530614,6.42758,9.093721020947756,71.91296255733515,277.028499863144,19921.940137973,653.9564192862675,30.46371218393412
1985,4.820835338,6.5567,9.004567238247224,71.51349828481646,284.62330433411745,20354.4081863167,643.9481037479073,31.6087710606646
1986,4.904329224,6.65386,8.912546669796074,71.33938837244197,290.8406404116214,20748.3934008144,635.8156282640963,32.632720050404636
1987,4.990385514,6.77349,8.900926020510989,71.17479146379863,300.8720063870349,21414.502311891898,633.5215533445686,33.802326375223856
1988,5.077397019,6.95554,8.841758905951421,70.94683441998835,312.25589405349876,22153.567212079,627.2948050819929,35.31603806153526
1989,5.164051066,7.08325,8.717656008765923,70.76134017831892,318.87672916764643,22564.144707581505,616.8730223938516,36.578264713244494
1990,5.251796867,7.16224,8.580478127142953,70.32935527347088,322.75150648076425,22698.905364333605,603.4594946200828,37.61462959270208
1991,5.33422824,7.13774,8.536537807667113,69.90178073077186,325.02299406400437,22719.686063521,596.7191940314905,38.0743342777776
1992,5.418536317,7.14501,8.456294648992426,69.83335918500136,327.3896430982329,22862.7185399283,590.5314615972931,38.71549617032817
1993,5.50014929,7.1528100000000006,8.36339674871865,69.37945090276934,329.02876423482775,22827.834993829096,580.2478741081062,39.3415228430049
1994,5.579765867,7.26542,8.217946525189983,69.34204945032293,333.15014904025475,23101.3141091318,569.8492543298335,40.53934252541914
1995,5.659557027,7.3789,8.1717580027591,69.0495835552651,341.2632811711754,23564.087447573005,564.2564870049208,41.7613053465303
1996,5.739091266,7.51899,8.128290941646775,68.95196026314834,350.75339120776744,24185.1338927225,560.4615940157369,43.15216983814134
1997,5.816982277,7.69571,7.9135992251313905,68.94116412964448,354.25866887397376,24423.00503519,545.5727430360106,44.76580867893167
1998,5.893726217,7.78106,7.7762510754305705,68.73016487461042,356.61449876312736,24510.1732966663,534.4630185207097,45.85943731805002
1999,5.970122355,7.93477,7.65640238776985,68.52379424599472,362.69563137270234,24853.280818104202,524.6457418840838,47.37154775878335
2e3,6.046028325,8.174619999999999,7.5242301269792025,68.57433701068454,371.87742990557615,25501.2482050122,515.9690924734176,49.423984066111494
2001,6.121838537,8.2285,7.467255355333943,68.65682375834079,376.15214906980157,25825.4118050065,512.678034889689,50.373548401704504
2002,6.197859288,8.30383,7.473705558653082,68.72778068322499,384.6415052593742,26435.5570151318,513.6511965261085,51.46596989147304
2003,6.273812755,8.4427,7.53285904187313,69.46929297725876,398.99986716638887,27718.2386700692,523.3023917362772,52.9679189466385
2004,6.350018003,8.71336,7.571161236781069,69.56939780977949,418.912297223127,29143.4762529243,526.7211279636043,55.329992866620074
2005,6.426502234,8.93822,7.543648479848031,69.87767061784464,433.3184147384127,30279.281457737397,527.1325837316251,57.44149079798348
2006,6.50382724,9.21907,7.434730631614913,69.96122068071976,445.78078781915474,31187.368071841003,520.142830420118,59.9592385934668
2007,6.581657298,9.50127,7.34874733922708,70.30163492724431,459.5473232950555,32306.9281540813,516.6289526149001,62.53410303576845
2008,6.659821761,9.56251,7.3108872942424705,70.01241549954075,465.5910220824008,32597.152090888896,511.85287891481704,63.684612187780104
2009,6.738024147,9.291469999999999,7.319289185015691,69.84151880057506,458.23251090966664,32003.6545257322,511.19027322211906,62.60614922112608
2010,6.815097686,9.58417,7.3577400920540175,69.64583698150349,480.58591271761105,33470.8081327378,512.4359670034665,65.31705478923062
2011,6.891767697,9.7706,7.312402099902242,69.88957400180703,492.3930664084564,34413.14165273049,511.06066769208684,67.3367054603082
2012,6.969049725,9.89907,7.239735038923925,69.7142257766049,499.44840518430954,34818.6588827842,504.71252306634,68.98711106125575
2013,7.046759089,10.04064,7.182921234065168,69.48128889309793,508.2202019787817,35311.7946749963,499.0786253604493,70.75397117937696
